Time(s),Latitude(deg),Longitude(deg),Damped Inst North(m/s),Damped Inst East(m/s)
166.500000,50.408161,-3.580389,0.000626,-0.000940
167.000000,50.408161,-3.580389,0.000883,0.034632
167.500000,50.408161,-3.580388,0.001286,0.043724
168.000000,50.408161,-3.580388,-0.000900,-0.030607
168.500000,50.408161,-3.580388,-0.000403,-0.012559
169.000000,50.408161,-3.580389,0.000155,-0.025201
169.500000,50.408161,-3.580388,-0.000341,0.051638
170.000000,50.408161,-3.580389,-0.001058,-0.138134
170.500000,50.408161,-3.580389,0.001169,0.130690
171.000000,50.408161,-3.580389,-0.001218,-0.125479
171.500000,50.408161,-3.580390,0.001867,-0.116099
172.000000,50.408161,-3.580389,-0.003740,0.251231
172.500000,50.408161,-3.580389,0.002618,-0.175862
173.000000,50.408161,-3.580389,-0.003932,0.089172
173.500000,50.408161,-3.580390,-0.002324,-0.198223
174.000000,50.408161,-3.580390,-0.000551,0.070829
174.500000,50.408161,-3.580390,0.002209,-0.015632
175.000000,50.408161,-3.580390,-0.001587,0.044911
